	censoption	model	promptIndex	inputIndex	lang	seedoption	concordanceExact	concordanceCaseinsensitive	concordanceContent	maxCharDiff	maxRuntimeDiff	medianRuntime	parseable1	parseable2	parseable3	parseable	answer1	answer2	answer3	correct1	correct2	correct3	allCorrect
0	0	claude-3-5-haiku-20241022	0	0	0	False	True	True	True	0	2.7710238	4.1667495	True	True	True	True	biopsy	no	NA	False	True	True	False
1	0	claude-3-5-haiku-20241022	0	0	1	False	True	True	True	0	3.170782	6.9820814	True	True	True	True	TURP	ei	NA	False	False	True	False
2	0	claude-3-5-haiku-20241022	0	1	0	False	True	True	True	0	1.1228864	2.4255612	True	True	True	True	biopsy	no	NA	True	True	True	True
3	0	claude-3-5-haiku-20241022	0	1	1	False	False	False	True	38	1.0486145	5.0250006	True	True	True	True	biopsy	ei	NA	True	True	True	True
4	0	claude-3-5-haiku-20241022	0	2	0	False	False	False	True	23	0.592226	2.5379689	True	True	True	True	RP	no	NA	True	True	True	True
5	0	claude-3-5-haiku-20241022	0	2	1	False	True	True	True	0	3.0110755	7.5723867	True	True	True	True	RP	ei	NA	True	True	True	True
6	0	claude-3-5-haiku-20241022	0	3	0	False	True	True	True	0	0.791311	2.6512427	True	True	True	True	TURP	no	NA	True	True	True	True
7	0	claude-3-5-haiku-20241022	0	3	1	False	False	False	True	0	0.6147566	7.597684	True	True	True	True	TURP	ei	NA	True	True	True	True
8	0	claude-3-5-haiku-20241022	0	4	0	False	True	True	True	0	0.20903444	2.376001	True	True	True	True	biopsy	no	NA	True	True	True	True
9	0	claude-3-5-haiku-20241022	0	4	1	False	True	True	True	0	1.0079327	4.695014	True	True	True	True	biopsy	ei	NA	True	True	True	True
10	0	claude-3-5-haiku-20241022	0	5	0	False	True	True	True	0	0.3824823	3.1412754	True	True	True	True	RP	yes	4+5=9	True	True	True	True
11	0	claude-3-5-haiku-20241022	0	5	1	False	True	True	True	0	3.795167	11.300966	True	True	True	True	RP	kyllä	4+5=9	True	True	True	True
12	0	claude-3-5-haiku-20241022	0	6	0	False	True	True	True	0	0.52749395	2.949749	True	True	True	True	biopsy	no	NA	False	True	True	False
13	0	claude-3-5-haiku-20241022	0	6	1	False	True	True	True	0	1.85009	10.854377	True	True	True	True	TURP	ei	NA	True	True	True	True
14	0	claude-3-5-haiku-20241022	0	7	0	False	True	True	True	0	0.371727	3.377044	True	True	True	True	biopsy	yes	NA	True	False	True	False
15	0	claude-3-5-haiku-20241022	0	7	1	False	True	True	True	0	3.8783188	9.776798	True	True	True	True	biopsy	kyllä	NA	True	False	True	False
16	0	claude-3-5-haiku-20241022	0	8	0	False	True	True	True	0	0.44405794	3.3014872	True	True	True	True	RP	yes	4+3=7	True	True	True	True
17	0	claude-3-5-haiku-20241022	0	8	1	False	True	True	True	0	4.1697884	10.131424	True	True	True	True	RP	kyllä	4+3=7	True	True	True	True
18	0	claude-3-5-haiku-20241022	0	9	0	False	False	False	True	5	2.2324133	3.1607502	True	True	True	True	TURP	no	NA	True	True	True	True
19	0	claude-3-5-haiku-20241022	0	9	1	False	True	True	True	0	2.395976	9.347029	True	True	True	True	TURP	ei	NA	True	True	True	True
20	0	claude-3-5-haiku-20241022	0	10	0	False	True	True	True	0	0.96065545	4.207997	True	True	True	True	biopsy	no	NA	True	True	True	True
21	0	claude-3-5-haiku-20241022	0	10	1	False	True	True	True	0	0.42894554	10.372809	True	True	True	True	biopsy	ei	NA	True	True	True	True
22	0	claude-3-5-haiku-20241022	0	11	0	False	True	True	True	0	0.62950325	4.0608945	True	True	True	True	RP	yes	4+3=7	True	True	True	True
23	0	claude-3-5-haiku-20241022	0	11	1	False	True	True	True	0	6.9518213	12.509441	True	True	True	True	RP	kyllä	4+3=7	True	True	True	True
24	0	claude-3-5-haiku-20241022	0	12	0	False	True	True	True	0	5.4538713	5.2713337	True	True	True	True	TURP	no	NA	True	True	True	True
25	0	claude-3-5-haiku-20241022	0	12	1	False	True	True	True	0	3.4979916	10.226743	True	True	True	True	TURP	ei	NA	True	True	True	True
26	0	claude-3-5-haiku-20241022	0	13	0	False	True	True	True	0	4.699302	3.14322	True	True	True	True	biopsy	yes	4+5=9	True	True	True	True
27	0	claude-3-5-haiku-20241022	0	13	1	False	True	True	True	0	2.600006	8.489256	True	True	True	True	biopsy	kyllä	4+5=9	True	True	True	True
28	0	claude-3-5-haiku-20241022	0	14	0	False	True	True	True	0	3.7719526	5.5524335	True	True	True	True	RP	yes	3+4=7	True	True	True	True
29	0	claude-3-5-haiku-20241022	0	14	1	False	True	True	True	0	9.569258	11.719403	True	True	True	True	RP	kyllä	3+4=7	True	True	True	True
30	0	claude-3-5-haiku-20241022	0	15	0	False	True	True	True	0	1.1784761	4.504944	True	True	True	True	biopsy	yes	4+4=8	False	True	True	False
31	0	claude-3-5-haiku-20241022	0	15	1	False	True	True	True	0	1.1639948	10.1880455	True	True	True	True	TURP	kyllä	4+4=8	True	True	True	True
32	0	claude-3-5-haiku-20241022	0	16	0	False	True	True	True	0	1.1583941	4.453445	True	True	True	True	biopsy	yes	3+4=7	True	True	True	True
33	0	claude-3-5-haiku-20241022	0	16	1	False	True	True	True	0	10.584972	11.20725	True	True	True	True	biopsy	kyllä	3+4=7	True	True	True	True
34	0	claude-3-5-haiku-20241022	0	17	0	False	True	True	True	0	2.2616143	4.827408	True	True	True	True	RP	yes	4+3=7	True	True	True	True
35	0	claude-3-5-haiku-20241022	0	17	1	False	True	True	True	0	0.89392376	10.4946375	True	True	True	True	RP	kyllä	4+3=7	True	True	True	True
36	0	claude-3-5-haiku-20241022	0	18	0	False	True	True	True	0	0.88839984	4.2564726	True	True	True	True	biopsy	yes	3+4=7	False	True	True	False
37	0	claude-3-5-haiku-20241022	0	18	1	False	True	True	True	0	2.797492	13.50951	True	True	True	True	TURP	kyllä	3+4=7	True	True	True	True
38	0	claude-3-5-haiku-20241022	0	19	0	False	True	True	True	0	4.102462	4.873373	True	True	True	True	biopsy	yes	3+4=7	True	True	True	True
39	0	claude-3-5-haiku-20241022	0	19	1	False	True	True	True	0	4.261545	10.329878	True	True	True	True	biopsy	kyllä	3+4=7	True	True	True	True
40	0	claude-3-5-haiku-20241022	0	20	0	False	True	True	True	0	3.316184	13.035186	True	True	True	True	RP	yes	4+4=8	True	True	True	True
41	0	claude-3-5-haiku-20241022	0	20	1	False	True	True	True	0	4.6970215	15.872728	True	True	True	True	RP	kyllä	4+4=8	True	True	True	True
42	0	claude-3-5-haiku-20241022	0	21	0	False	True	True	True	0	2.3269653	11.440525	True	True	True	True	TURP	yes	5+4=9	True	True	True	True
43	0	claude-3-5-haiku-20241022	0	21	1	False	True	True	True	0	1.2646275	11.707799	True	True	True	True	biopsy	kyllä	5+4=9	False	True	True	False
44	0	claude-3-5-haiku-20241022	0	22	0	False	True	True	True	0	8.107733	10.613607	True	True	True	True	biopsy	yes	3+4=7	True	True	True	True
45	0	claude-3-5-haiku-20241022	0	22	1	False	True	True	True	0	1.0077496	10.810108	True	True	True	True	biopsy	kyllä	3+4=7	True	True	True	True
46	0	claude-3-5-haiku-20241022	0	23	0	False	True	True	True	0	6.790867	11.059705	True	True	True	True	RP	yes	4+5=9	True	True	True	True
47	0	claude-3-5-haiku-20241022	0	23	1	False	True	True	True	0	2.7798576	8.7644005	True	True	True	True	RP	kyllä	4+5=9	True	True	True	True
48	0	claude-3-5-haiku-20241022	0	24	0	False	True	True	True	0	3.0166316	9.409262	True	True	True	True	TURP	yes	4+4=8	True	True	True	True
